"","GEOID","NAME","B28010_001E","B28010_001M","B28010_002E","B28010_002M","B28010_003E","B28010_003M","B28010_004E","B28010_004M","B28010_005E","B28010_005M","B28010_006E","B28010_006M","B28010_007E","B28010_007M"
"220","17197","Will County, Illinois",242530,1783,234887,2016,208237,3195,5967,884,228920,2061,26650,2592,7643,1300
"221","17199","Williamson County, Illinois",27361,1282,24682,1405,19450,1739,886,440,23796,1446,5232,1104,2679,915
"222","17201","Winnebago County, Illinois",115282,1861,107781,2242,87760,2637,3974,851,103807,2403,20021,2273,7501,1291
"223","18003","Allen County, Indiana",154866,1665,148361,2015,122350,2508,3901,899,144460,1961,26011,2166,6505,1340
"224","18005","Bartholomew County, Indiana",32518,999,30975,1109,25662,1571,1040,411,29935,1249,5313,1245,1543,457
"225","18011","Boone County, Indiana",28048,644,27366,672,24287,1133,398,238,26968,691,3079,987,682,383
"226","18019","Clark County, Indiana",50153,1093,47869,1429,38484,1831,1760,608,46109,1552,9385,1732,2284,850
"227","18035","Delaware County, Indiana",45977,1583,43680,1701,35321,1819,1697,553,41983,1830,8359,1409,2297,678
"228","18039","Elkhart County, Indiana",69015,2038,63919,2302,49315,2880,1689,701,62230,2385,14604,2115,5096,1198
"229","18043","Floyd County, Indiana",30846,1223,28960,1272,24512,1372,822,379,28138,1263,4448,886,1886,507
